DATE,CPIUS
1/1/2014,233.916
1/2/2014,234.781
1/3/2014,236.293
1/4/2014,237.072
1/5/2014,237.900
1/6/2014,238.343
1/7/2014,238.250
1/8/2014,237.852
1/9/2014,238.031
1/10/2014,237.433
1/11/2014,236.151
1/12/2014,234.812
1/1/2015,233.707
1/2/2015,234.722
1/3/2015,236.119
1/4/2015,236.599
1/5/2015,237.805
1/6/2015,238.638
1/7/2015,238.654
1/8/2015,238.316
1/9/2015,237.945
1/10/2015,237.838
1/11/2015,237.336
1/12/2015,236.525
1/1/2016,236.916
1/2/2016,237.111
1/3/2016,238.132
1/4/2016,239.261
1/5/2016,240.229
1/6/2016,241.018
1/7/2016,240.628
1/8/2016,240.849
1/9/2016,241.428
1/10/2016,241.729
1/11/2016,241.353
1/12/2016,241.432
1/1/2017,242.839
1/2/2017,243.603
1/3/2017,243.801
1/4/2017,244.524
1/5/2017,244.733
1/6/2017,244.955
1/7/2017,244.786
1/8/2017,245.519
1/9/2017,246.819
1/10/2017,246.663
1/11/2017,246.669
1/12/2017,246.524
1/1/2018,247.867
1/2/2018,248.991
1/3/2018,249.554
1/4/2018,250.546
1/5/2018,251.588
1/6/2018,251.989
1/7/2018,252.006
1/8/2018,252.146
1/9/2018,252.439
1/10/2018,252.885
1/11/2018,252.038
1/12/2018,251.233
1/1/2019,251.712
1/2/2019,252.776
1/3/2019,254.202
1/4/2019,255.548
1/5/2019,256.092
1/6/2019,256.143
1/7/2019,256.571
1/8/2019,256.558
1/9/2019,256.759
1/10/2019,257.346
1/11/2019,257.208
1/12/2019,256.974
1/1/2020,257.971
1/2/2020,258.678
1/3/2020,258.115
1/4/2020,256.389
1/5/2020,256.394
1/6/2020,257.797
1/7/2020,259.101
1/8/2020,259.918
1/9/2020,260.280
1/10/2020,260.388
1/11/2020,260.229
1/12/2020,260.474
1/1/2021,261.582
1/2/2021,263.014
1/3/2021,264.877
1/4/2021,267.054
1/5/2021,269.195
1/6/2021,271.696
1/7/2021,273.003
1/8/2021,273.567
1/9/2021,274.310
1/10/2021,276.589
1/11/2021,277.948
1/12/2021,278.802
1/1/2022,281.148
1/2/2022,283.716
1/3/2022,287.504
1/4/2022,289.109
1/5/2022,292.296
1/6/2022,296.311
1/7/2022,296.276
1/8/2022,296.171
1/9/2022,296.808
1/10/2022,298.012
1/11/2022,297.711
1/12/2022,296.797
1/1/2023,299.170
1/2/2023,300.840
1/3/2023,301.836
1/4/2023,303.363
1/5/2023,304.127
1/6/2023,305.109
1/7/2023,305.691
1/8/2023,307.026
1/9/2023,307.789
1/10/2023,307.671
1/11/2023,307.051
1/12/2023,306.746
1/1/2024,308.417
1/2/2024,310.326
1/3/2024,312.332
1/4/2024,313.548
1/5/2024,314.069
1/6/2024,314.175
1/7/2024,314.540
1/8/2024,314.796
1/9/2024,315.301
