Date,opr_my
1/1/2015,3.25
1/2/2015,3.25
1/3/2015,3.25
1/4/2015,3.25
1/5/2015,3.25
1/6/2015,3.25
1/7/2015,3.25
1/8/2015,3.25
1/9/2015,3.25
1/10/2015,3.25
1/11/2015,3.25
1/12/2015,3.25
1/1/2016,3.25
1/2/2016,3.25
1/3/2016,3.25
1/4/2016,3.25
1/5/2016,3.25
1/6/2016,3.25
1/7/2016,3
1/8/2016,3
1/9/2016,3
1/10/2016,3
1/11/2016,3
1/12/2016,3
1/1/2017,3
1/2/2017,3
1/3/2017,3
1/4/2017,3
1/5/2017,3
1/6/2017,3
1/7/2017,3
1/8/2017,3
1/9/2017,3
1/10/2017,3
1/11/2017,3
1/12/2017,3
1/1/2018,3.25
1/2/2018,3.25
1/3/2018,3.25
1/4/2018,3.25
1/5/2018,3.25
1/6/2018,3.25
1/7/2018,3.25
1/8/2018,3.25
1/9/2018,3.25
1/10/2018,3.25
1/11/2018,3.25
1/12/2018,3.25
1/1/2019,3.25
1/2/2019,3.25
1/3/2019,3.25
1/4/2019,3.25
1/5/2019,3
1/6/2019,3
1/7/2019,3
1/8/2019,3
1/9/2019,3
1/10/2019,3
1/11/2019,3
1/12/2019,3
1/1/2020,2.75
1/2/2020,2.75
1/3/2020,2.5
1/4/2020,2.5
1/5/2020,2
1/6/2020,2
1/7/2020,1.75
1/8/2020,1.75
1/9/2020,1.75
1/10/2020,1.75
1/11/2020,1.75
1/12/2020,1.75
1/1/2021,1.75
1/2/2021,1.75
1/3/2021,1.75
1/4/2021,1.75
1/5/2021,1.75
1/6/2021,1.75
1/7/2021,1.75
1/8/2021,1.75
1/9/2021,1.75
1/10/2021,1.75
1/11/2021,1.75
1/12/2021,1.75
1/1/2022,1.75
1/2/2022,1.75
1/3/2022,1.75
1/4/2022,1.75
1/5/2022,2
1/6/2022,2
1/7/2022,2.25
1/8/2022,2.25
1/9/2022,2.5
1/10/2022,2.5
1/11/2022,2.75
1/12/2022,2.75
1/1/2023,2.75
1/2/2023,2.75
1/3/2023,2.75
1/4/2023,2.75
1/5/2023,3
1/6/2023,3
1/7/2023,3
1/8/2023,3
1/9/2023,3
1/10/2023,3
1/11/2023,3
1/12/2023,3
1/1/2024,3
1/2/2024,3
1/3/2024,3
1/4/2024,3
1/5/2024,3
1/6/2024,3
1/7/2024,3
